,feature name,importance
0,ENSG00000138496,9.99977708095398e-05
1,ENSG00000021574,9.988610412493772e-05
2,ENSG00000106477,9.98852280077248e-05
3,ENSG00000117598,9.97133766909208e-05
4,ENSG00000113552,9.968931610767975e-05
5,ENSG00000151364,9.968802795832591e-07
6,ENSG00000102038,9.965830569416473e-06
7,ENSG00000173156,9.96140412629248e-05
8,ENSG00000139083,9.955690357094709e-05
9,ENSG00000109911,9.948976935788951e-05
10,ENSG00000215475,9.941808811937256e-06
11,ENSG00000164543,9.934981393709848e-05
12,ENSG00000170837,9.931375621557833e-06
13,ENSG00000243444,9.927090656429032e-05
14,ENSG00000101557,9.922717197891905e-05
15,ENSG00000197417,9.915906239129515e-05
16,ENSG00000101200,9.903282354569518e-05
17,ENSG00000120549,9.901661059344385e-05
18,ENSG00000142751,9.886629952906847e-06
19,ENSG00000239389,9.886454893989777e-06
20,ENSG00000070669,9.871260017118396e-05
21,ENSG00000137411,9.870202351422634e-05
22,ENSG00000166402,9.869473722617742e-05
23,ENSG00000132017,9.862607456867324e-05
24,ENSG00000232434,9.860990350102126e-05
25,ENSG00000130368,9.856136831484507e-05
26,ENSG00000196653,9.852115863370364e-05
27,ENSG00000119698,9.833103552269528e-05
28,ENSG00000101654,9.83180390526251e-05
29,ENSG00000066933,9.831484857690846e-05
30,ENSG00000180879,9.823926676843513e-05
31,ENSG00000241058,9.821087889274309e-05
32,ENSG00000101181,9.818849036790834e-05
33,ENSG00000166394,9.817733285482222e-05
34,ENSG00000154146,9.814157818663172e-05
35,ENSG00000231738,9.797394374258293e-05
36,ENSG00000198001,9.792818792375334e-05
37,ENSG00000102221,9.79237196398059e-05
38,ENSG00000081377,9.78730262959017e-05
39,ENSG00000006652,9.76918438581493e-05
40,ENSG00000135686,9.768458321996739e-05
41,ENSG00000164574,9.75501493548872e-05
42,ENSG00000198931,9.746590138045223e-05
43,ENSG00000106809,9.745561298542806e-05
44,ENSG00000006607,9.730704440503752e-05
45,ENSG00000127824,9.728678297452258e-05
46,ENSG00000136010,9.727752628093318e-05
47,ENSG00000165309,9.727598278592516e-05
48,ENSG00000179455,9.722920733951098e-05
49,ENSG00000196378,9.711961359226e-06
50,ENSG00000140955,9.707763262837291e-05
51,ENSG00000165197,9.706497777296302e-05
52,ENSG00000156049,9.698903595608016e-06
53,ENSG00000142528,9.694356014317555e-05
54,ENSG00000124257,9.693983713647416e-05
55,ENSG00000133835,9.690345880575725e-05
56,ENSG00000132466,9.688798764593702e-05
57,ENSG00000198879,9.687462000751071e-05
58,ENSG00000186472,9.685221274683688e-05
59,ENSG00000168092,9.682797873812089e-05
60,ENSG00000184486,9.680987717469838e-05
61,ENSG00000275835,9.671333701063074e-05
62,ENSG00000178951,9.655781166046198e-05
63,ENSG00000100003,9.655687110444532e-05
64,ENSG00000105556,9.65072521874246e-05
65,ENSG00000179909,9.64300596986254e-06
66,ENSG00000100412,9.630927181880374e-05
67,ENSG00000053254,9.626436923531413e-05
68,ENSG00000001036,9.619248182809109e-05
69,ENSG00000177432,9.615218303591598e-05
70,ENSG00000189367,9.612925112076966e-05
71,ENSG00000134910,9.611675231304384e-05
72,ENSG00000105221,9.60184417112577e-05
73,ENSG00000101405,9.600586204015759e-06
74,ENSG00000177707,9.600198122871096e-05
75,ENSG00000030066,9.592588382430935e-05
76,ENSG00000064547,9.58954953361355e-05
77,ENSG00000105483,9.583754308131073e-05
78,ENSG00000152822,9.572431149978354e-06
79,ENSG00000102893,9.570913220148523e-05
80,ENSG00000213066,9.564014323840224e-05
81,ENSG00000121579,9.552764177399409e-05
82,ENSG00000171634,9.547655534289123e-05
83,ENSG00000165124,9.537478287334587e-06
84,ENSG00000133704,9.533226016446178e-06
85,ENSG00000204580,9.531787976933088e-05
86,ENSG00000173611,9.530050457880936e-05
87,ENSG00000096063,9.528787829287684e-06
88,ENSG00000155760,9.528481396575908e-06
89,ENSG00000152061,9.527620572038339e-06
90,ENSG00000137693,9.527353115861291e-06
91,ENSG00000139579,9.527095399569785e-06
92,ENSG00000173457,9.526847421584265e-06
93,ENSG00000197608,9.526648556481474e-06
94,ENSG00000186862,9.526380674511981e-06
95,ENSG00000163541,9.526270071882938e-06
96,ENSG00000133401,9.525851992840129e-06
97,ENSG00000188554,9.525851992840129e-06
98,ENSG00000115816,9.525297851598838e-06
99,ENSG00000144554,9.524902943790317e-06
100,ENSG00000198034,9.524902943790315e-06
101,ENSG00000118508,9.524902943790315e-06
102,ENSG00000084676,9.52461441576726e-06
103,ENSG00000198835,9.524452181361045e-06
104,ENSG00000166707,9.524397509574147e-06
105,ENSG00000126368,9.52429545725122e-06
106,ENSG00000177225,9.524291820621752e-06
107,ENSG00000196700,9.524160605750222e-06
108,ENSG00000197841,9.524160605750222e-06
109,ENSG00000123104,9.524047625000153e-06
110,ENSG00000172270,9.523984454136232e-06
111,ENSG00000115317,9.523984454136232e-06
112,ENSG00000130734,9.52393100252129e-06
113,ENSG00000132646,9.523907921327589e-06
114,ENSG00000071794,9.52383989319694e-06
115,ENSG00000134253,9.523814382898494e-06
116,ENSG00000151743,9.517495182853383e-05
117,ENSG00000184384,9.516595478052377e-05
118,ENSG00000182903,9.50219199584071e-05
119,ENSG00000140104,9.496252628117756e-05
120,ENSG00000137815,9.495454027347392e-05
121,ENSG00000186577,9.489582182641898e-05
122,ENSG00000261832,9.488267001410967e-05
123,ENSG00000105404,9.487724568515441e-05
124,ENSG00000132024,9.459265185871696e-06
125,ENSG00000100591,9.457017515212512e-06
126,ENSG00000120137,9.455467948857314e-05
127,ENSG00000043514,9.451734081226203e-05
128,ENSG00000250479,9.444420366370758e-05
129,ENSG00000079462,9.44279292993813e-05
130,ENSG00000198646,9.435136177379256e-06
131,ENSG00000172232,9.430218108238536e-06
132,ENSG00000068878,9.426601864523436e-05
133,ENSG00000160469,9.424251289273964e-06
134,ENSG00000104635,9.420198693449306e-05
135,ENSG00000170458,9.419779710805345e-05
136,ENSG00000177575,9.407862037803295e-06
137,ENSG00000147050,9.407677582691943e-05
138,ENSG00000135596,9.403162901931778e-06
139,ENSG00000061918,9.400873648020312e-05
140,ENSG00000153814,9.400104673373275e-05
141,ENSG00000152208,9.399912442991522e-06
142,ENSG00000086205,9.39513221248139e-05
143,ENSG00000166510,9.394375674274294e-06
144,ENSG00000148303,9.39421308466013e-05
145,ENSG00000026297,9.379221842768935e-06
146,ENSG00000102547,9.37787120435396e-05
147,ENSG00000141376,9.37666826020105e-06
148,ENSG00000070159,9.3761362281785e-06
149,ENSG00000177728,9.374669203906794e-06
150,ENSG00000065518,9.374273806734168e-05
151,ENSG00000144560,9.372138019877353e-06
152,ENSG00000177034,9.36863990166586e-06
153,ENSG00000144827,9.3678774531768e-05
154,ENSG00000189410,9.365676534540257e-06
155,ENSG00000081237,9.365350080759154e-05
156,ENSG00000160613,9.364335417383407e-05
157,ENSG00000198276,9.360819756664851e-06
158,ENSG00000180440,9.351135384893326e-05
159,ENSG00000151952,9.350193629632252e-05
160,ENSG00000103740,9.347995265782337e-05
161,ENSG00000158710,9.345827578120202e-05
162,ENSG00000154118,9.328898343547117e-05
163,ENSG00000150477,9.326217053511568e-05
164,ENSG00000080345,9.320451469324439e-05
165,ENSG00000130299,9.320203411738698e-06
166,ENSG00000149262,9.318807413480062e-06
167,ENSG00000162618,9.31471444851124e-05
168,ENSG00000112306,9.31074412587291e-05
169,ENSG00000145506,9.307930040387146e-05
170,ENSG00000164209,9.307752163679595e-05
171,ENSG00000135392,9.305418495169467e-05
172,ENSG00000100427,9.304431277843839e-05
173,ENSG00000175567,9.300315535308806e-05
