,feature name,importance
0,42 Cingulate Subcallosal (BA25)_PE_P 41 7,0.0
1,72 Internal Capsule_PC_P 38 6,0.0
2,36 FEF Medial (BA8m)_PC 29 0,0.0
3,36 FEF Medial (BA8m)_PE_O 42 7,0.0
4,36 FEF Medial (BA8m)_PE_P 41 7,0.0
5,15 1ary Motor (BA4)_PC_P 38 6,0.0
6,15 1ary Motor (BA4)_LPE 16 0,0.0
7,15 1ary Motor (BA4)_PE_P 40 2,0.0
8,15 1ary Motor (BA4)_LPE 18 0,0.0
9,15 1ary Motor (BA4)_LPE 22 3,0.0
10,15 1ary Motor (BA4)_PE_P 39 4,0.0
11,15 1ary Motor (BA4)_PE_P 39 2,0.0
12,15 1ary Motor (BA4)_PC 29 0,0.0
13,15 1ary Motor (BA4)_PE_O 42 7,0.0
14,15 1ary Motor (BA4)_PE_P 41 7,0.0
15,72 Internal Capsule_LPE 16 0,0.0
16,43 Temporopolar (BA38)_PE_P 39 2,0.0
17,72 Internal Capsule_PE_P 40 2,0.0
18,72 Internal Capsule_LPE 18 0,0.0
19,72 Internal Capsule_LPE 22 3,0.0
20,72 Internal Capsule_PE_P 39 4,0.0
21,72 Internal Capsule_PE_P 39 2,0.0
22,72 Internal Capsule_PC 29 0,0.0
23,72 Internal Capsule_PE_O 42 7,0.0
24,72 Internal Capsule_PE_P 41 7,0.0
25,43 Temporopolar (BA38)_PC_P 38 6,0.0
26,43 Temporopolar (BA38)_LPE 16 0,0.0
27,43 Temporopolar (BA38)_PE_P 40 2,0.0
28,43 Temporopolar (BA38)_LPE 18 0,0.0
29,43 Temporopolar (BA38)_LPE 22 3,0.0
30,36 FEF Medial (BA8m)_PE_P 39 2,0.0
31,36 FEF Medial (BA8m)_PE_P 39 4,0.0
32,36 FEF Medial (BA8m)_LPE 22 3,0.0
33,36 FEF Medial (BA8m)_LPE 18 0,0.0
34,22 Premotor Medial (BA6m)_PE_P 39 2,0.0
35,22 Premotor Medial (BA6m)_PC 29 0,0.0
36,22 Premotor Medial (BA6m)_PE_O 42 7,0.0
37,22 Premotor Medial (BA6m)_PE_P 41 7,0.0
38,53 Insular Posterior Cortex_PC_P 38 6,0.0
39,53 Insular Posterior Cortex_LPE 16 0,0.0
40,53 Insular Posterior Cortex_PE_P 40 2,0.0
41,53 Insular Posterior Cortex_LPE 18 0,0.0
42,53 Insular Posterior Cortex_LPE 22 3,0.0
43,53 Insular Posterior Cortex_PE_P 39 4,0.0
44,53 Insular Posterior Cortex_PE_P 39 2,0.0
45,53 Insular Posterior Cortex_PC 29 0,0.0
46,53 Insular Posterior Cortex_PE_O 42 7,0.0
47,53 Insular Posterior Cortex_PE_P 41 7,0.0
48,58 Putamen_PC_P 38 6,0.0
49,58 Putamen_LPE 16 0,0.0
50,58 Putamen_PE_P 40 2,0.0
51,58 Putamen_LPE 18 0,0.0
52,58 Putamen_LPE 22 3,0.0
53,58 Putamen_PE_P 39 4,0.0
54,58 Putamen_PE_P 39 2,0.0
55,58 Putamen_PC 29 0,0.0
56,58 Putamen_PE_O 42 7,0.0
57,58 Putamen_PE_P 41 7,0.0
58,36 FEF Medial (BA8m)_PC_P 38 6,0.0
59,36 FEF Medial (BA8m)_LPE 16 0,0.0
60,36 FEF Medial (BA8m)_PE_P 40 2,0.0
61,43 Temporopolar (BA38)_PE_P 39 4,0.0
62,43 Temporopolar (BA38)_PC 29 0,0.0
63,42 Cingulate Subcallosal (BA25)_PE_O 42 7,0.0
64,33 Anterior Inferior Temporal (BA20a)_LPE 18 0,0.0
65,47 Cingulate Posterior (BA31)_PC_P 38 6,0.0
66,47 Cingulate Posterior (BA31)_LPE 16 0,0.0
67,47 Cingulate Posterior (BA31)_PE_P 40 2,0.0
68,47 Cingulate Posterior (BA31)_LPE 18 0,0.0
69,47 Cingulate Posterior (BA31)_LPE 22 3,0.0
70,47 Cingulate Posterior (BA31)_PE_P 39 4,0.0
71,47 Cingulate Posterior (BA31)_PE_P 39 2,0.0
72,47 Cingulate Posterior (BA31)_PC 29 0,0.0
73,47 Cingulate Posterior (BA31)_PE_O 42 7,0.0
74,47 Cingulate Posterior (BA31)_PE_P 41 7,0.0
75,33 Anterior Inferior Temporal (BA20a)_PC_P 38 6,0.0
76,33 Anterior Inferior Temporal (BA20a)_LPE 16 0,0.0
77,33 Anterior Inferior Temporal (BA20a)_PE_P 40 2,0.0
78,33 Anterior Inferior Temporal (BA20a)_LPE 22 3,0.0
79,43 Temporopolar (BA38)_PE_O 42 7,0.0
80,33 Anterior Inferior Temporal (BA20a)_PE_P 39 4,0.0
81,33 Anterior Inferior Temporal (BA20a)_PE_P 39 2,0.0
82,33 Anterior Inferior Temporal (BA20a)_PC 29 0,0.0
83,33 Anterior Inferior Temporal (BA20a)_PE_O 42 7,0.0
84,33 Anterior Inferior Temporal (BA20a)_PE_P 41 7,0.0
85,18 1ary Somatosensory (BA3/1/2)_PC_P 38 6,0.0
86,18 1ary Somatosensory (BA3/1/2)_LPE 16 0,0.0
87,18 1ary Somatosensory (BA3/1/2)_PE_P 40 2,0.0
88,18 1ary Somatosensory (BA3/1/2)_LPE 18 0,0.0
89,18 1ary Somatosensory (BA3/1/2)_LPE 22 3,0.0
90,18 1ary Somatosensory (BA3/1/2)_PE_P 39 4,0.0
91,18 1ary Somatosensory (BA3/1/2)_PE_P 39 2,0.0
92,18 1ary Somatosensory (BA3/1/2)_PC 29 0,0.0
93,61 Pulvinar Thalamus_PE_P 41 7,0.0
94,61 Pulvinar Thalamus_PE_O 42 7,0.0
95,61 Pulvinar Thalamus_PC 29 0,0.0
96,61 Pulvinar Thalamus_PE_P 39 2,0.0
97,43 Temporopolar (BA38)_PE_P 41 7,0.0
98,41 Angular (BA39)_PC_P 38 6,0.0
99,41 Angular (BA39)_LPE 16 0,0.0
100,41 Angular (BA39)_PE_P 40 2,0.0
101,41 Angular (BA39)_LPE 18 0,0.0
102,41 Angular (BA39)_LPE 22 3,0.0
103,41 Angular (BA39)_PE_P 39 4,0.0
104,41 Angular (BA39)_PE_P 39 2,0.0
105,41 Angular (BA39)_PC 29 0,0.0
106,41 Angular (BA39)_PE_O 42 7,0.0
107,41 Angular (BA39)_PE_P 41 7,0.0
108,44 Dorsolateral Prefrontal (BA46)_PC_P 38 6,0.0
109,44 Dorsolateral Prefrontal (BA46)_LPE 16 0,0.0
110,44 Dorsolateral Prefrontal (BA46)_PE_P 40 2,0.0
111,44 Dorsolateral Prefrontal (BA46)_LPE 18 0,0.0
112,44 Dorsolateral Prefrontal (BA46)_LPE 22 3,0.0
113,44 Dorsolateral Prefrontal (BA46)_PE_P 39 4,0.0
114,44 Dorsolateral Prefrontal (BA46)_PE_P 39 2,0.0
115,44 Dorsolateral Prefrontal (BA46)_PC 29 0,0.0
116,44 Dorsolateral Prefrontal (BA46)_PE_O 42 7,0.0
117,44 Dorsolateral Prefrontal (BA46)_PE_P 41 7,0.0
118,61 Pulvinar Thalamus_PC_P 38 6,0.0
119,61 Pulvinar Thalamus_LPE 16 0,0.0
120,61 Pulvinar Thalamus_PE_P 40 2,0.0
121,61 Pulvinar Thalamus_LPE 18 0,0.0
122,61 Pulvinar Thalamus_LPE 22 3,0.0
123,61 Pulvinar Thalamus_PE_P 39 4,0.0
124,22 Premotor Medial (BA6m)_PE_P 39 4,0.0
125,22 Premotor Medial (BA6m)_LPE 22 3,0.0
126,22 Premotor Medial (BA6m)_LPE 18 0,0.0
127,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 39 4,0.0
128,63 Substantia Nigra_PE_P 40 2,0.0
129,63 Substantia Nigra_LPE 18 0,0.0
130,63 Substantia Nigra_LPE 22 3,0.0
131,63 Substantia Nigra_PE_P 39 4,0.0
132,63 Substantia Nigra_PE_P 39 2,0.0
133,63 Substantia Nigra_PC 29 0,0.0
134,63 Substantia Nigra_PE_O 42 7,0.0
135,63 Substantia Nigra_PE_P 41 7,0.0
136,10 2ary/3ary Visual Posterior (BA18/19p)_PC_P 38 6,0.0
137,10 2ary/3ary Visual Posterior (BA18/19p)_LPE 16 0,0.0
138,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 40 2,0.0
139,10 2ary/3ary Visual Posterior (BA18/19p)_LPE 18 0,0.0
140,10 2ary/3ary Visual Posterior (BA18/19p)_LPE 22 3,0.0
141,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 39 2,0.0
142,22 Premotor Medial (BA6m)_PE_P 40 2,0.0
143,10 2ary/3ary Visual Posterior (BA18/19p)_PC 29 0,0.0
144,10 2ary/3ary Visual Posterior (BA18/19p)_PE_O 42 7,0.0
145,10 2ary/3ary Visual Posterior (BA18/19p)_PE_P 41 7,0.0
146,74 Corpus Callosum Posterior_PC_P 38 6,0.0
147,74 Corpus Callosum Posterior_LPE 16 0,0.0
148,74 Corpus Callosum Posterior_PE_P 40 2,0.0
149,74 Corpus Callosum Posterior_LPE 18 0,0.0
150,74 Corpus Callosum Posterior_LPE 22 3,0.0
151,74 Corpus Callosum Posterior_PE_P 39 4,0.0
152,74 Corpus Callosum Posterior_PE_P 39 2,0.0
153,74 Corpus Callosum Posterior_PC 29 0,0.0
154,74 Corpus Callosum Posterior_PE_O 42 7,0.0
155,74 Corpus Callosum Posterior_PE_P 41 7,0.0
156,63 Substantia Nigra_LPE 16 0,0.0
157,63 Substantia Nigra_PC_P 38 6,0.0
158,3  Posterior Superior Parietal (BA7p)_PE_P 41 7,0.0
