,feature name,importance
0,39 Frontopolar (BA10fp)_PE_P 41 7,0.0
1,56 Nucleus Accumbens_PI 40 6,0.0
2,56 Nucleus Accumbens_FA 22 5,0.0
3,56 Nucleus Accumbens_FA 22 4,0.0
4,56 Nucleus Accumbens_FA 22 2,0.0
5,56 Nucleus Accumbens_FA 20 0,0.0
6,56 Nucleus Accumbens_FA 22 1,0.0
7,56 Nucleus Accumbens_FA 22 0,0.0
8,56 Nucleus Accumbens_FA 21 3,0.0
9,56 Nucleus Accumbens_FA 20 5,0.0
10,56 Nucleus Accumbens_FA 20 4,0.0
11,56 Nucleus Accumbens_FA 20 3,0.0
12,56 Nucleus Accumbens_FA 20 2,0.0
13,56 Nucleus Accumbens_FA 20 1,0.0
14,56 Nucleus Accumbens_SulfoHexCer d41 1,0.0
15,56 Nucleus Accumbens_PC 34 4,0.0
16,53 Insular Posterior Cortex_PC 38 3,0.0
17,56 Nucleus Accumbens_PC 40 1,0.0
18,56 Nucleus Accumbens_PE_O 38 4,0.0
19,56 Nucleus Accumbens_PE_P 34 0,0.0
20,56 Nucleus Accumbens_PE 40 8,0.0
21,56 Nucleus Accumbens_PE 39 6,0.0
22,56 Nucleus Accumbens_PE 38 5,0.0
23,56 Nucleus Accumbens_PC 42 8,0.0
24,56 Nucleus Accumbens_PC 40 5,0.0
25,56 Nucleus Accumbens_PC 40 2,0.0
26,56 Nucleus Accumbens_PC 39 6,0.0
27,56 Nucleus Accumbens_PC_O 32 1,0.0
28,56 Nucleus Accumbens_PC 37 5,0.0
29,56 Nucleus Accumbens_PC 37 4,0.0
30,56 Nucleus Accumbens_FA 22 6,0.0
31,56 Nucleus Accumbens_FA 22 7,0.0
32,56 Nucleus Accumbens_FA 24 1,0.0
33,56 Nucleus Accumbens_FA 24 4,0.0
34,56 Nucleus Accumbens_PC 35 4,0.0
35,56 Nucleus Accumbens_PC 33 2,0.0
36,56 Nucleus Accumbens_SulfoHexCer t43 2,0.0
37,56 Nucleus Accumbens_FA 18 2,0.0
38,56 Nucleus Accumbens_FA 18 1,0.0
39,56 Nucleus Accumbens_FA 17 1,0.0
40,56 Nucleus Accumbens_FA 17 0,0.0
41,56 Nucleus Accumbens_FA 16 1,0.0
42,56 Nucleus Accumbens_FA 16 0,0.0
43,56 Nucleus Accumbens_FA 14 0,0.0
44,56 Nucleus Accumbens_SulfoHexCer t44 2,0.0
45,56 Nucleus Accumbens_SulfoHexCer d44 2,0.0
46,56 Nucleus Accumbens_FA 19 0,0.0
47,56 Nucleus Accumbens_SulfoHexCer t42 1,0.0
48,56 Nucleus Accumbens_SulfoHexCer d43 1,0.0
49,56 Nucleus Accumbens_SulfoHexCer t42 2,0.0
50,56 Nucleus Accumbens_SulfoHexCer d43 2,0.0
51,56 Nucleus Accumbens_SulfoHexCer t41 1,0.0
52,56 Nucleus Accumbens_SulfoHexCer d42 1,0.0
53,56 Nucleus Accumbens_SulfoHexCer d42 2,0.0
54,56 Nucleus Accumbens_SulfoHexCer t40 1,0.0
55,56 Nucleus Accumbens_FA 18 3,0.0
56,56 Nucleus Accumbens_FA 19 1,0.0
57,56 Nucleus Accumbens_SulfoHexCer d40 1,0.0
58,56 Nucleus Accumbens_FA 22 3,0.0
59,56 Nucleus Accumbens_FA 24 6,0.0
60,56 Nucleus Accumbens_FA 24 5,0.0
61,56 Nucleus Accumbens_PC 37 2,0.0
62,56 Nucleus Accumbens_PC 37 1,0.0
63,56 Nucleus Accumbens_PC 36 5,0.0
64,56 Nucleus Accumbens_Cer m42 2,0.0
65,56 Nucleus Accumbens_Cer m39 1,0.0
66,56 Nucleus Accumbens_Cer d38 2,0.0
67,56 Nucleus Accumbens_Cer t36 0,0.0
68,56 Nucleus Accumbens_Cer m38 1,0.0
69,56 Nucleus Accumbens_Cer d36 0,0.0
70,56 Nucleus Accumbens_Cer m36 0,0.0
71,56 Nucleus Accumbens_Cer d35 1,0.0
72,56 Nucleus Accumbens_Cer m36 1,0.0
73,56 Nucleus Accumbens_HexCer t43 2,0.0
74,56 Nucleus Accumbens_HexCer d44 2,0.0
75,56 Nucleus Accumbens_HexCer d43 2,0.0
76,56 Nucleus Accumbens_HexCer d42 1,0.0
77,56 Nucleus Accumbens_HexCer d41 1,0.0
78,56 Nucleus Accumbens_HexCer d36 1,0.0
79,56 Nucleus Accumbens_DG 37 4,0.0
80,56 Nucleus Accumbens_DG 38 5,0.0
81,56 Nucleus Accumbens_DG 38 1,0.0
82,56 Nucleus Accumbens_CAR 18 0,0.0
83,56 Nucleus Accumbens_PS 40 5,0.0
84,56 Nucleus Accumbens_CE 22 6,0.0
85,56 Nucleus Accumbens_CE 22 4,0.0
86,56 Nucleus Accumbens_CE 20 4,0.0
87,56 Nucleus Accumbens_CE 20 3,0.0
88,56 Nucleus Accumbens_CE 18 2,0.0
89,56 Nucleus Accumbens_CE 18 1,0.0
90,56 Nucleus Accumbens_CAR 18 1,0.0
91,56 Nucleus Accumbens_HexCer t36 2,0.0
92,56 Nucleus Accumbens_Cer m41 2,0.0
93,56 Nucleus Accumbens_Cer m43 2,0.0
