,feature name,importance
0,70 Ventral Lateral Thalamus_FA 17 1,9.981611999145348e-05
1,17 1ary Visual Anterior (BA17a)_SulfoHexCer t44 2,9.961924889716336e-05
2,37 2ary Auditory Anterior (BA21a)_PC 42 9,9.958664538913232e-05
3,53 Insular Posterior Cortex_PE 39 4,9.957795027471411e-05
4,74 Corpus Callosum Posterior_PC 28 0,9.957613970673686e-05
5,39 Frontopolar (BA10fp)_LPE 22 4,9.954853738366963e-05
6,70 Ventral Lateral Thalamus_PG 34 2,9.954398513667054e-05
7,22 Premotor Medial (BA6m)_PI 38 6,9.953596333062507e-05
8,36 FEF Medial (BA8m)_SM d35 2,9.949471271552823e-05
9,39 Frontopolar (BA10fp)_PE 36 6,9.947667966083653e-05
10,64 Globus Pallidus_PC_P 38 2,9.947566754311892e-05
11,18 1ary Somatosensory (BA3/1/2)_FA 19 0,9.947158915083934e-05
12,74 Corpus Callosum Posterior_Cer d41 2,8.981150969779871e-05
13,42 Cingulate Subcallosal (BA25)_SM d34 0,8.400840084008404e-05
14,22 Premotor Medial (BA6m)_HexCer d43 2,8.191853201990621e-05
15,50 Orbitofrontal (BA11)_PC 42 7,7.500867245001079e-05
16,64 Globus Pallidus_DG 37 4,7.498289452718648e-05
17,23 Insular Anterior Cortex_FA 20 1,7.497972531635018e-05
18,4  Anterior Superior Parietal (BA5/BA7a)_TG 52 2,7.494699135111765e-05
19,31 Supramarginal Posterior (BA40p)_PC 42 8,7.493630100084849e-05
20,58 Putamen_DG 38 4,7.485955320277041e-05
21,39 Frontopolar (BA10fp)_PC 30 0,7.481455423287657e-05
22,"65 Hippocampus, CA1_PC 38 2",7.479321319810434e-05
23,70 Ventral Lateral Thalamus_LPE 20 2,7.478081769926782e-05
24,70 Ventral Lateral Thalamus_LPC 20 1,7.477565020906578e-05
25,52 Amygdala_PC 38 5,7.477305796371824e-05
26,18 1ary Somatosensory (BA3/1/2)_SM d33 1,7.477097324532268e-05
27,"32 Ventrolateral Prefrontal, Broca (BA44)_PC 29 0",7.476744823904688e-05
28,53 Insular Posterior Cortex_SulfoHexCer t44 2,7.475407378024068e-05
29,2  Anterior Supramarginal (BA40a)_PC 42 10,7.474827172964104e-05
30,70 Ventral Lateral Thalamus_Cholesterol,7.474470201594147e-05
31,7  Orbitofrontal (BA47)_SM d36 2,7.472989195678248e-05
32,22 Premotor Medial (BA6m)_SM d38 1,7.472096390043445e-05
33,53 Insular Posterior Cortex_PE_P 37 1,7.471695214942699e-05
34,37 2ary Auditory Anterior (BA21a)_SM d38 0,7.471637606825966e-05
35,18 1ary Somatosensory (BA3/1/2)_PE_P 34 1,7.471493397341357e-05
36,70 Ventral Lateral Thalamus_SM d34 0,7.470802940489824e-05
37,64 Globus Pallidus_PC 44 1,7.4706547943029e-05
38,42 Cingulate Subcallosal (BA25)_PC 37 1,7.469432260991021e-05
39,30 Premotor Anterior Lateral (BA6a)_DG 35 1,7.456791041015452e-05
40,23 Insular Anterior Cortex_PC 30 0,7.449442833993598e-05
41,34 Dorsolateral Prefrontal (BA9)_PE 34 1,7.296694545251756e-05
42,19 Posterior Middle Temporal (BA37-pMT)_PE_P 40 4,7.246865908113998e-05
43,39 Frontopolar (BA10fp)_PE 42 8,7.218077104259425e-05
44,48 Cingulate Anterior (BA24)_PC_P 40 4,7.200720072007198e-05
45,43 Temporopolar (BA38)_SM d33 1,7.116973004728315e-05
46,70 Ventral Lateral Thalamus_FA 18 1,7.071825268080476e-05
47,70 Ventral Lateral Thalamus_Cer m36 1,7.002144406724562e-05
48,38 Anterior Prefrontal (BA10)_FA 19 0,6.989728508715855e-05
49,36 FEF Medial (BA8m)_PC 35 4,5.005566740139963e-05
50,58 Putamen_PE 40 6,5.005245692313229e-05
51,31 Supramarginal Posterior (BA40p)_FA 18 1,5.0046702063090655e-05
52,38 Anterior Prefrontal (BA10)_PE 42 10,5.002547911671275e-05
53,37 2ary Auditory Anterior (BA21a)_SM d33 1,4.9981067777357445e-05
54,7  Orbitofrontal (BA47)_SulfoHexCer t43 2,4.996874937068301e-05
55,48 Cingulate Anterior (BA24)_SM d41 2,4.995865888023388e-05
56,23 Insular Anterior Cortex_PE 38 7,4.9954673120415373e-05
57,70 Ventral Lateral Thalamus_PC 35 2,4.9954452319903724e-05
58,43 Temporopolar (BA38)_LPC 20 4,4.994568490793284e-05
59,19 Posterior Middle Temporal (BA37-pMT)_PC 46 5,4.994422635739783e-05
