,feature name,importance
0,31 Supramarginal Posterior (BA40p)_PC_O 30 0,9.979590481644047e-05
1,"65 Hippocampus, CA1_PC_P 38 4",9.961761796283685e-05
2,25 Posterior Inferior Temporal (BA20p)_PE 35 1,9.95584952463973e-05
3,8  Cingulate Posterior (BA23a)_FA 24 6,9.955779029389773e-05
4,15 1ary Motor (BA4)_LPE 20 1,9.954200909702522e-05
5,"65 Hippocampus, CA1_PI 40 6",9.953546262748485e-05
6,"26 2ary Auditory, language (BA22a)_CE 20 3",9.950808489196477e-05
7,17 1ary Visual Anterior (BA17a)_FA 18 2,9.949947307899952e-05
8,48 Cingulate Anterior (BA24)_PC_O 32 1,9.949041773347827e-05
9,48 Cingulate Anterior (BA24)_HexCer d42 2,9.948784048958822e-05
10,41 Angular (BA39)_SM d36 1,9.948702325805606e-05
11,47 Cingulate Posterior (BA31)_PC_P 40 5,9.948638842941933e-05
12,48 Cingulate Anterior (BA24)_DG 38 2,9.947011770945545e-05
13,72 Internal Capsule_PE 42 6,9.937995669474088e-05
14,37 2ary Auditory Anterior (BA21a)_PG 42 10,9.92687653445421e-05
15,64 Globus Pallidus_LPE 18 1,9.92581649864509e-05
16,34 Dorsolateral Prefrontal (BA9)_PC 40 4,9.92581649864509e-05
17,68 Medial Dorsal Thalamus_PC 29 0,9.439323407890726e-05
18,58 Putamen_PE_P 33 1,8.71752319022604e-05
19,56 Nucleus Accumbens_FA 22 2,7.487800861775995e-05
20,14 1ary Visual Posterior (BA17p)_PC 36 1,7.484449018597935e-05
21,46 Prefrontal Medial (BA10m)_HexCer d40 1,7.481375606726795e-05
22,14 1ary Visual Posterior (BA17p)_PC_O 36 4,7.477311203386108e-05
23,53 Insular Posterior Cortex_PI 38 6,7.476323285551596e-05
24,41 Angular (BA39)_PC 37 5,7.47514668248368e-05
25,41 Angular (BA39)_PE 34 1,7.474417637757051e-05
26,75 Cerebellar White Matter_PG 38 6,7.472546853349428e-05
27,36 FEF Medial (BA8m)_PE 40 7,7.47208698435711e-05
28,70 Ventral Lateral Thalamus_TG 56 4,7.47163840835684e-05
29,72 Internal Capsule_FA 22 2,7.47096599615505e-05
30,34 Dorsolateral Prefrontal (BA9)_PC 42 7,7.349200067838772e-05
31,15 1ary Motor (BA4)_TG 60 12,7.147782411675187e-05
32,4  Anterior Superior Parietal (BA5/BA7a)_PC 37 1,7.011965184777516e-05
33,33 Anterior Inferior Temporal (BA20a)_TG 56 7,7.00246180297761e-05
34,53 Insular Posterior Cortex_PC_P 40 2,6.820579678224943e-05
35,48 Cingulate Anterior (BA24)_PC 37 2,6.751519091795655e-05
36,"65 Hippocampus, CA1_PC 37 4",6.336740321371748e-05
37,58 Putamen_PE 34 1,6.316776470007652e-05
38,"65 Hippocampus, CA1_DG 36 2",6.0979518699603946e-05
39,58 Putamen_PE_P 36 3,5.6068625463392165e-05
40,"65 Hippocampus, CA1_PE 40 4",5.0051903278174784e-05
41,"65 Hippocampus, CA1_PC 35 0",5.004570312692169e-05
42,15 1ary Motor (BA4)_LPE 20 4,5.004365415188108e-05
43,6  Anterior Middle Temporal (BA37-aMT)_PE_O 42 7,4.994289197743404e-05
44,61 Pulvinar Thalamus_PE_P 37 1,4.994021746830401e-05
45,38 Anterior Prefrontal (BA10)_SM d34 1,4.993492778416642e-05
46,39 Frontopolar (BA10fp)_DG 34 1,4.992154576342777e-05
47,17 1ary Visual Anterior (BA17a)_PE 34 2,4.9916726292830986e-05
48,58 Putamen_FA 22 3,4.9911542049092715e-05
49,14 1ary Visual Posterior (BA17p)_FA 17 1,4.9904178764846935e-05
50,41 Angular (BA39)_PG 42 9,4.990281955747405e-05
51,43 Temporopolar (BA38)_DG 40 2,4.989740994437038e-05
52,41 Angular (BA39)_PI 38 6,4.9896640857258514e-05
53,42 Cingulate Subcallosal (BA25)_PE_O 38 4,4.9889336863908515e-05
54,74 Corpus Callosum Posterior_PC 39 6,4.988850667006185e-05
55,68 Medial Dorsal Thalamus_PC 37 2,4.988821346232323e-05
56,74 Corpus Callosum Posterior_Cer d38 2,4.988697606702263e-05
57,"28 2ary Auditory, Wernicke (BA22p)_PC_O 36 4",4.9881531363012935e-05
58,25 Posterior Inferior Temporal (BA20p)_DG 38 1,4.9880564564856606e-05
59,53 Insular Posterior Cortex_PC 40 4,4.9875388089436915e-05
60,"32 Ventrolateral Prefrontal, Broca (BA44)_PC 35 3",4.987427910673437e-05
61,53 Insular Posterior Cortex_DG 40 2,4.987356899751218e-05
62,7  Orbitofrontal (BA47)_SulfoHexCer d43 2,4.986754966887379e-05
63,15 1ary Motor (BA4)_CE 20 3,4.9864314789688235e-05
64,38 Anterior Prefrontal (BA10)_FA 20 5,4.97442570164384e-05
65,53 Insular Posterior Cortex_PE 36 5,4.889695124011116e-05
66,15 1ary Motor (BA4)_LPC 18 1,4.8611414932454457e-05
67,16 1ary Auditory (BA41/42)_PI 38 4,4.854923050914558e-05
68,44 Dorsolateral Prefrontal (BA46)_TG 60 11,4.8201098621266706e-05
69,64 Globus Pallidus_PC 34 4,4.817447639161613e-05
70,23 Insular Anterior Cortex_DG 40 2,4.7946633312487005e-05
71,53 Insular Posterior Cortex_SM d43 2,4.7710499670026616e-05
72,72 Internal Capsule_PC 35 4,4.7676280959376135e-05
73,56 Nucleus Accumbens_TG 52 4,4.756216466387268e-05
74,23 Insular Anterior Cortex_PE 32 1,4.7507423034849193e-05
75,1  Cerebellar Grey Matter_SM d32 0,4.7500296876855465e-05
76,56 Nucleus Accumbens_LPE 22 4,4.642857142857145e-05
77,37 2ary Auditory Anterior (BA21a)_SM d32 1,4.600718862322237e-05
78,18 1ary Somatosensory (BA3/1/2)_SM d33 1,4.2858817029683094e-05
79,61 Pulvinar Thalamus_SulfoHexCer d40 1,2.5060772373004578e-05
80,48 Cingulate Anterior (BA24)_PE_P 36 3,2.5044808076345898e-05
81,25 Posterior Inferior Temporal (BA20p)_HexCer t43 2,2.5041056064647248e-05
82,14 1ary Visual Posterior (BA17p)_PE 42 6,2.5029363364442604e-05
83,"32 Ventrolateral Prefrontal, Broca (BA44)_FA 22 0",2.5019453406881524e-05
84,70 Ventral Lateral Thalamus_Cer m41 2,2.5015395244481648e-05
85,22 Premotor Medial (BA6m)_PE 40 8,2.50139704979445e-05
86,"26 2ary Auditory, language (BA22a)_DG 40 4",2.500903552251118e-05
87,4  Anterior Superior Parietal (BA5/BA7a)_PE_P 38 1,2.500479640664513e-05
88,42 Cingulate Subcallosal (BA25)_SM d38 0,2.500460037208466e-05
89,15 1ary Motor (BA4)_PC_O 38 5,2.500343781258495e-05
90,58 Putamen_FA 21 3,2.5001327455661226e-05
91,7  Orbitofrontal (BA47)_PC_P 36 1,2.499777075800869e-05
92,47 Cingulate Posterior (BA31)_PE_P 40 4,2.499764057936651e-05
93,53 Insular Posterior Cortex_TG 50 3,2.49916268913003e-05
94,"65 Hippocampus, CA1_PC_P 40 5",2.4988438010947752e-05
95,34 Dorsolateral Prefrontal (BA9)_FA 18 1,2.4987572614235616e-05
96,"28 2ary Auditory, Wernicke (BA22p)_TG 56 5",2.4985957553984244e-05
97,19 Posterior Middle Temporal (BA37-pMT)_PC 32 1,2.4985927754453775e-05
98,48 Cingulate Anterior (BA24)_LPE 16 0,2.4983604509540774e-05
99,56 Nucleus Accumbens_PI 40 6,2.4983476985477084e-05
100,68 Medial Dorsal Thalamus_DG 36 3,2.498345497517034e-05
101,10 2ary/3ary Visual Posterior (BA18/19p)_TG 58 6,2.498318907163939e-05
102,42 Cingulate Subcallosal (BA25)_LPC 18 1,2.498244395068113e-05
103,37 2ary Auditory Anterior (BA21a)_TG 52 2,2.4981454025693734e-05
104,"32 Ventrolateral Prefrontal, Broca (BA44)_PC 32 0",2.4981109376664562e-05
105,7  Orbitofrontal (BA47)_PG 42 9,2.498016907404033e-05
106,14 1ary Visual Posterior (BA17p)_PC 42 7,2.497917850697695e-05
107,44 Dorsolateral Prefrontal (BA46)_Cholesterol,2.497889611308645e-05
108,56 Nucleus Accumbens_PE_P 37 4,2.497672959944813e-05
109,6  Anterior Middle Temporal (BA37-aMT)_PC_O 38 6,2.497555496027594e-05
110,"28 2ary Auditory, Wernicke (BA22p)_PC 38 5",2.4975390648870593e-05
111,7  Orbitofrontal (BA47)_FA 22 3,2.497450240335294e-05
112,68 Medial Dorsal Thalamus_PE_P 38 1,2.4973731334448367e-05
113,"65 Hippocampus, CA1_DG 38 1",2.497360881870657e-05
114,4  Anterior Superior Parietal (BA5/BA7a)_PE 38 1,2.4972376082564427e-05
115,22 Premotor Medial (BA6m)_SM d40 2,2.4971129484340783e-05
116,4  Anterior Superior Parietal (BA5/BA7a)_DG 40 2,2.497070114084506e-05
117,22 Premotor Medial (BA6m)_PC_P 36 1,2.4969859910273397e-05
118,72 Internal Capsule_PE 40 7,2.4969098376260925e-05
119,19 Posterior Middle Temporal (BA37-pMT)_Cer d35 1,2.4968983986324647e-05
120,2  Anterior Supramarginal (BA40a)_PE 36 5,2.4968864978568398e-05
121,64 Globus Pallidus_HexCer d36 2,2.496740480663611e-05
122,37 2ary Auditory Anterior (BA21a)_FA 20 4,2.4840482632600917e-05
123,47 Cingulate Posterior (BA31)_PE_P 41 5,2.4786479701822928e-05
124,44 Dorsolateral Prefrontal (BA46)_PE 32 1,2.4750536352282217e-05
125,15 1ary Motor (BA4)_PC 40 2,2.472913865318928e-05
126,44 Dorsolateral Prefrontal (BA46)_PE_P 36 3,2.4575454973320308e-05
127,18 1ary Somatosensory (BA3/1/2)_PC 36 2,2.4563396787286355e-05
128,17 1ary Visual Anterior (BA17a)_FA 22 0,2.4497693047033512e-05
129,8  Cingulate Posterior (BA23a)_Cer d41 2,2.4470324531561504e-05
130,64 Globus Pallidus_FA 20 3,2.4415787158650713e-05
131,42 Cingulate Subcallosal (BA25)_PC_O 30 0,2.43753427782578e-05
132,52 Amygdala_PC 42 7,2.435897435897434e-05
133,14 1ary Visual Posterior (BA17p)_PC 33 2,2.4285714285714288e-05
134,38 Anterior Prefrontal (BA10)_Cer m41 1,2.4065874073148002e-05
135,43 Temporopolar (BA38)_FA 26 1,2.4053494972819566e-05
136,"32 Ventrolateral Prefrontal, Broca (BA44)_PE 34 3",2.3525758352820505e-05
137,73 Corpus Callosum Anterior_LPE 20 1,2.3505408594517598e-05
138,52 Amygdala_PE 32 1,2.345072767607979e-05
139,16 1ary Auditory (BA41/42)_SM d37 1,2.3449371244192372e-05
140,"65 Hippocampus, CA1_FA 17 0",2.3077500014423427e-05
141,"26 2ary Auditory, language (BA22a)_SM d32 0",2.29926862355329e-05
142,1  Cerebellar Grey Matter_PE 42 8,2.2929600394389126e-05
143,33 Anterior Inferior Temporal (BA20a)_FA 17 1,2.2925837001467252e-05
144,70 Ventral Lateral Thalamus_PC 38 7,2.29202479554097e-05
145,23 Insular Anterior Cortex_PC_P 38 4,2.274294403714833e-05
146,31 Supramarginal Posterior (BA40p)_PC 38 3,2.2727272727272736e-05
147,42 Cingulate Subcallosal (BA25)_HexCer d44 2,2.223611979709541e-05
148,16 1ary Auditory (BA41/42)_DG 42 4,2.2222777791667012e-05
149,50 Orbitofrontal (BA11)_FA 19 0,2.1901829741433255e-05
150,43 Temporopolar (BA38)_HexCer d42 1,2.1890083635755265e-05
151,61 Pulvinar Thalamus_PE_P 36 1,2.1878418502891084e-05
152,52 Amygdala_PE_P 34 0,2.1878418502891084e-05
153,72 Internal Capsule_CE 22 6,2.0875606436366973e-05
154,73 Corpus Callosum Anterior_PC 35 4,2.0864662928762306e-05
155,61 Pulvinar Thalamus_PC 42 4,1.8780048076923078e-05
156,14 1ary Visual Posterior (BA17p)_PC 29 0,0.031105445191972437
157,64 Globus Pallidus_HexCer t41 2,0.030106564412637916
158,15 1ary Motor (BA4)_PC 38 5,0.030059170570887667
159,64 Globus Pallidus_PE 35 2,0.028033809542041967
160,34 Dorsolateral Prefrontal (BA9)_PC_O 40 4,0.027058480807364695
161,48 Cingulate Anterior (BA24)_Cer d42 2,0.026909430334451298
162,74 Corpus Callosum Posterior_SM d36 1,0.02636767428117808
163,33 Anterior Inferior Temporal (BA20a)_PC_P 38 2,0.02528129243977497
