,feature name,importance
0,DG 37 4,0.0
1,PC 34 2,0.0
2,PE 36 6,0.0
3,TG 52 3,0.0
4,PC 40 7,0.0
5,TG 60 10,0.0
6,PC_P 36 1,0.0
7,Cer m36 0,0.0
8,PC 36 1,0.0
9,PE_P 34 1,0.0
10,PC 34 4,0.0
11,PC 44 1,0.0
12,LPE 22 3,0.0
13,PI 36 4,0.0
14,TG 54 6,0.0
15,LPE 22 4,0.0
16,PE 38 7,0.0
17,SM d42 1,0.0
18,FA 22 2,0.0
19,HexCer d36 2,0.0
20,PC 39 6,0.0
21,SulfoHexCer t44 2,0.0
22,SM d35 2,0.0
23,SulfoHexCer d42 2,0.0
24,PC 38 6,0.0
25,DG 42 4,0.0
26,SM d32 1,0.0
27,CE 20 3,0.0
28,PC 29 0,0.0
29,PE_P 33 1,0.0
30,FA 21 3,0.0
31,PS 40 6,0.0
32,PC 36 5,0.0
33,PE 36 2,0.0
34,SulfoHexCer t43 2,0.0
35,PE_P 36 2,0.0
36,PC 32 0,0.0
37,PC 35 3,0.0
38,SM d36 2,0.0
39,SM d34 2,0.0
40,FA 20 1,0.0
41,PE 37 4,0.0
42,SulfoHexCer d41 1,0.0
43,PE_P 39 4,0.0
44,FA 20 4,0.0
45,FA 18 1,0.0
46,PI 40 6,0.0
47,HexCer t43 2,0.0
48,PE 35 1,0.0
49,HexCer t41 2,0.0
50,PC_P 40 5,0.0
51,FA 16 0,0.0
52,TG 58 10,0.0
53,HexCer d38 1,0.0
54,PC_P 37 1,0.0
55,PI 38 6,0.0
56,PC 40 3,0.0
57,PC_P 36 2,0.0
58,PC 35 2,0.0
59,PE_P 36 5,0.0
60,PE_P 37 2,0.0
61,PC 46 2,0.0
62,PG 34 2,0.0
63,CE 22 6,0.0
64,PC_O 38 5,0.0
65,SulfoHexCer d43 2,0.0
66,PC 31 0,0.0
67,Cer m44 1,0.0
68,Cer m41 1,0.0
69,FA 19 0,0.0
70,PC_P 34 2,0.0
71,PI 38 5,0.0
72,FA 20 5,0.0
73,SulfoHexCer d44 2,0.0
74,PE_P 36 3,0.0
75,CAR 18 1,0.0
76,FA 24 1,0.0
77,DG 35 1,0.0
78,Cer d38 2,0.0
79,Cer m36 1,0.0
80,LPE 18 1,0.0
81,PC 30 1,0.0
82,PE 40 8,0.0
