,feature name,importance
0,PE_P 41 7,0.0
1,DG 40 4,0.0
2,SM d32 1,0.0
3,DG 36 4,0.0
4,DG 36 3,0.0
5,DG 36 2,0.0
6,DG 36 1,0.0
7,DG 38 4,0.0
8,DG 38 2,0.0
9,DG 40 2,0.0
10,SM d34 1,0.0
11,SM d34 2,0.0
12,SM d35 1,0.0
13,SM d36 2,0.0
14,SM d36 1,0.0
15,Cer m44 1,0.0
16,Cer d42 2,0.0
17,Cer d43 2,0.0
18,SM d33 1,0.0
19,SM d41 1,0.0
20,DG 42 4,0.0
21,SM d40 1,0.0
22,PS 40 6,0.0
23,SM d35 2,0.0
24,SM d36 0,0.0
25,SM d37 2,0.0
26,SM d37 1,0.0
27,SM d38 1,0.0
28,SM d40 2,0.0
29,SM d34 0,0.0
30,Cer m41 1,0.0
31,SM d41 2,0.0
32,SM d42 2,0.0
33,SM d42 1,0.0
34,SM d43 2,0.0
35,SM d44 2,0.0
36,Cer d36 2,0.0
37,Cer m40 1,0.0
38,HexCer d42 2,0.0
39,Cer d40 1,0.0
40,TG 52 4,0.0
41,HexCer t43 2,0.0
42,DG 38 5,0.0
43,DG 37 4,0.0
44,HexCer d36 1,0.0
45,HexCer d41 1,0.0
46,HexCer d42 1,0.0
47,HexCer d43 2,0.0
48,HexCer d44 2,0.0
49,Cer m36 1,0.0
50,CAR 18 0,0.0
51,Cer d35 1,0.0
52,Cer m36 0,0.0
53,Cer d36 0,0.0
54,Cer m38 1,0.0
55,Cer t36 0,0.0
56,Cer d38 2,0.0
57,Cer m39 1,0.0
58,DG 38 1,0.0
59,PS 40 5,0.0
60,PC 42 10,0.0
61,SM d32 0,0.0
62,Cer d41 2,0.0
63,HexCer d36 2,0.0
64,HexCer d38 1,0.0
65,HexCer d40 1,0.0
66,HexCer t40 2,0.0
67,HexCer t41 2,0.0
68,HexCer d43 1,0.0
69,SM d38 0,0.0
70,CE 22 6,0.0
71,HexCer t36 2,0.0
72,CAR 18 1,0.0
73,CE 18 1,0.0
74,CE 18 2,0.0
75,CE 20 3,0.0
76,CE 20 4,0.0
77,CE 22 4,0.0
78,TG 50 3,0.0
79,TG 52 3,0.0
80,PE_O 42 7,0.0
81,LPC 18 0,0.0
82,TG 52 2,0.0
83,TG 54 6,0.0
84,TG 54 5,0.0
85,TG 54 4,0.0
86,TG 56 7,0.0
87,TG 56 5,0.0
88,TG 56 4,0.0
89,TG 58 10,0.0
90,LPC 20 4,0.0
91,TG 58 8,0.0
92,TG 58 7,0.0
93,TG 58 6,0.0
94,TG 60 12,0.0
95,TG 60 11,0.0
96,TG 60 10,0.0
97,Cholesterol,0.0
98,LPC 18 1,0.0
99,PE_P 34 1,0.0
100,PE_P 36 1,0.0
101,LPC 20 3,0.0
102,LPC 22 6,0.0
103,LPC 22 5,0.0
104,LPC 22 4,0.0
105,PE 34 1,0.0
106,PE 36 1,0.0
107,PE 36 2,0.0
108,PE 36 3,0.0
109,PE 38 3,0.0
110,PE 38 6,0.0
111,PE 40 7,0.0
112,PE 42 8,0.0
113,LPE 18 1,0.0
114,LPE 20 4,0.0
115,LPE 22 6,0.0
116,LPE 22 4,0.0
117,PG 42 10,0.0
118,TG 58 9,0.0
119,PE_P 36 4,0.0
120,PC 36 2,0.0
121,PC 32 1,0.0
122,PE_O 40 5,0.0
123,LPC 16 1,0.0
124,LPC 20 1,0.0
125,PC 28 0,0.0
126,PC 30 0,0.0
127,PC 30 1,0.0
128,PC 32 0,0.0
129,PC 33 1,0.0
130,PC 38 2,0.0
131,PC 34 0,0.0
132,PC 34 1,0.0
133,PC 34 2,0.0
134,PC 35 1,0.0
135,PC 35 2,0.0
136,PC 35 3,0.0
137,PC 36 1,0.0
138,PC 37 3,0.0
139,PC 38 3,0.0
140,PE_P 40 4,0.0
141,PC 38 4,0.0
142,PC 38 5,0.0
143,PC 38 6,0.0
144,PC 38 7,0.0
145,PC 40 3,0.0
146,PC 40 4,0.0
147,PC 40 7,0.0
148,DG 35 1,0.0
149,PC 42 2,0.0
150,PC 42 3,0.0
151,PC 42 4,0.0
152,PC 44 1,0.0
153,PC 44 2,0.0
154,PC 45 2,0.0
155,PC 46 2,0.0
156,PC 46 3,0.0
157,PC 46 5,0.0
158,Cer m41 2,0.0
159,Cer m42 2,0.0
160,Cer m43 2,0.0
161,PC 31 1,0.0
162,PE_P 35 1,0.0
163,PE_P 35 2,0.0
