,feature name,importance
0,TG 52 2,9.999999999998899e-05
1,PE_P 37 3,7.999999999996898e-05
2,PC 35 0,7.999999999963592e-06
3,PC_P 30 0,7.999999999963592e-06
4,PC 46 3,7.799999999997808e-05
5,CE 22 6,7.599999999996498e-05
6,FA 22 3,6.39999999999974e-05
7,PC 37 4,5.999999999997119e-05
8,FA 18 2,5.399999999995408e-05
9,TG 60 12,5.1999999999985394e-05
10,PC_O 36 2,4.399999999997739e-05
11,SM d43 2,4.399999999997739e-05
12,PE_O 42 7,4.199999999996429e-05
13,SM d32 0,3.799999999998249e-05
14,SulfoHexCer t44 2,3.599999999999159e-05
15,SM d44 2,3.20000000000098e-05
16,SulfoHexCer d41 1,1.5999999999993796e-05
17,TG 60 10,0.00743999999999998
18,CAR 18 0,0.005413999999999963
19,PG 38 6,0.004571999999999976
20,Cer d40 1,0.004075999999999991
21,PE_O 40 4,0.00340999999999998
22,Cer m40 1,0.0033200000000000117
23,LPE 22 6,0.0032039999999999846
24,LPC 16 1,0.00315399999999999
25,PE_P 41 7,0.003125999999999962
26,HexCer d41 1,0.0030959999999999655
27,PC 36 5,0.002575999999999956
28,Cer d36 0,0.0025639999999999886
29,PC 30 1,0.002536000000000005
30,PC_O 40 4,0.002393999999999963
31,PC 42 4,0.0022639999999999995
32,PC_P 32 1,0.0021159999999999625
33,DG 36 4,0.0020540000000000003
34,PC_P 34 2,0.0020119999999999695
35,PE 36 3,0.0019879999999999898
36,HexCer d38 1,0.0019459999999999812
37,PE 40 8,0.0019239999999999702
38,FA 19 0,0.0018859999999999877
39,LPE 20 2,0.0018739999999999757
40,LPC 22 6,0.0018539999999999778
41,PC 36 1,0.0018079999999999874
42,PC 40 7,0.0017639999999999657
43,PC_P 34 1,0.0016939999999999733
44,Cholesterol,0.0016059999999999963
45,PG 40 8,0.0015759999999999774
46,PE_O 40 5,0.0015759999999999553
47,LPC 20 3,0.0015679999999999694
48,PE_P 34 0,0.0015479999999999717
49,PG 34 2,0.0015099999999999892
50,LPE 16 0,0.0015099999999999448
51,FA 22 7,0.0014959999999999863
52,PC_O 34 1,0.0014919999999999823
53,PC 40 2,0.0014819999999999833
54,FA 18 3,0.0014779999999999793
55,FA 24 4,0.0014759999999999663
56,HexCer d42 1,0.0014639999999999764
57,FA 19 1,0.0014499999999999734
58,PC 44 1,0.0014499999999999734
59,LPC 18 0,0.0014419999999999878
60,Cer d43 2,0.0013859999999999983
61,PC 38 6,0.0012599999999999944
62,PE 38 1,0.0012599999999999944
63,PE 39 4,0.0012379999999999835
64,PC 42 3,0.0012139999999999595
65,PC 33 1,0.0011679999999999913
66,SM d38 1,0.001167999999999969
67,PC_P 40 4,0.001167999999999969
68,TG 58 10,0.0011659999999999783
69,PC 31 1,0.0011619999999999743
70,LPE 24 4,0.0011259999999999825
71,PE 34 2,0.0011139999999999705
72,PC 38 2,0.0011059999999999848
73,SM d38 0,0.0010900000000000133
74,PE 38 2,0.001089999999999991
75,PE 38 3,0.0010800000000000143
76,TG 56 5,0.001069999999999971
77,PE 40 6,0.0010239999999999583
78,Cer d36 2,0.0009919999999999708
79,CE 20 4,0.0009799999999999588
80,PE_P 42 4,0.0009699999999999598
81,SulfoHexCer d44 2,0.0009659999999999558
82,PC_O 40 7,0.0009499999999999842
83,DG 37 4,0.0009379999999999722
84,PC 35 3,0.0009259999999999602
85,CE 20 3,0.0009159999999999835
86,Cer m42 2,0.0009159999999999835
87,PE 38 6,0.0009059999999999846
88,FA 22 6,0.0008899999999999686
89,CAR 18 1,0.0008799999999999697
90,FA 20 2,0.0008519999999999861
91,PC 46 2,0.000849999999999973
92,PC 37 5,0.0008459999999999912
93,PC 36 2,0.0008459999999999912
94,PE_P 40 8,0.0008359999999999923
95,PC 37 2,0.0008159999999999723
96,Cer d41 2,0.0008079999999999643
97,PE 34 3,0.0008059999999999512
98,PC 40 4,0.0007959999999999967
99,PC 38 5,0.0007899999999999796
100,PI 38 4,0.0007639999999999647
101,FA 18 1,0.0007559999999999789
102,PI 38 5,0.000753999999999988
103,LPC 20 1,0.00074599999999998
104,PE 36 1,0.000737999999999972
105,SulfoHexCer t42 2,0.0007360000000000034
106,TG 58 8,0.0007279999999999954
107,PE 38 5,0.0007219999999999782
108,LPC 18 1,0.0007199999999999874
109,PC_O 35 2,0.0007099999999999884
110,PG 42 9,0.0007099999999999662
111,PC_O 36 1,0.0007019999999999804
112,PI 38 6,0.0006959999999999855
113,PE_P 39 2,0.0006919999999999815
114,PC 42 2,0.0006739999999999969
115,PC_O 32 1,0.0006719999999999837
116,TG 60 11,0.0006439999999999557
117,FA 20 3,0.0006359999999999921
118,HexCer t36 2,0.000621999999999967
119,PS 40 6,0.0006219999999999449
120,LPC 22 4,0.0006119999999999904
121,PE_P 35 2,0.0006079999999999641
122,PC 34 4,0.0005979999999999652
123,Cer m41 2,0.0005919999999999481
124,HexCer d43 1,0.0005859999999999754
125,PC 34 0,0.0005779999999999674
126,PE 36 5,0.0005679999999999685
127,HexCer d43 2,0.0005599999999999827
128,PE 42 7,0.0005399999999999849
129,FA 22 2,0.000525999999999982
130,SM d37 1,0.0005199999999999649
131,SM d42 2,0.0004819999999999602
132,SM d41 2,0.00047599999999996533
133,SM d41 1,0.0004739999999999522
134,PE 42 5,0.00046199999999998467
135,TG 54 4,0.00043199999999994355
136,TG 58 6,0.00041999999999997595
137,PC_O 32 0,0.0004119999999999902
138,PC 33 2,0.00040999999999995483
139,FA 22 5,0.00039599999999999634
140,SulfoHexCer d43 2,0.00039400000000000546
141,PC 42 7,0.00039199999999997017
142,SulfoHexCer d43 1,0.00038999999999997923
143,PC 46 5,0.00038599999999997523
144,PC_P 38 2,0.00038199999999999346
145,CE 18 2,0.00037799999999996723
146,PC_P 36 2,0.00034799999999997057
147,DG 40 4,0.0003260000000000041
148,PG 42 10,0.00031999999999996474
149,Cer d35 1,0.00030799999999997496
150,PE 40 4,0.00029599999999996296
151,PC 37 1,0.00029399999999997207
152,SulfoHexCer d42 1,0.00026399999999997535
153,HexCer t40 2,0.00026199999999998447
154,FA 20 4,0.00025999999999997135
155,LPE 18 1,0.0002559999999999896
156,SM d37 2,0.0002519999999999856
157,HexCer d44 2,0.00024199999999996447
158,FA 26 1,0.00023799999999996047
159,SulfoHexCer t40 1,0.00023199999999996558
160,FA 16 1,0.00022999999999999686
161,SM d40 2,0.00022599999999997066
162,TG 58 7,0.00021399999999998086
163,SM d34 0,0.00020599999999997286
164,HexCer d36 2,0.00019399999999993866
165,PE 38 7,0.00018599999999997509
166,TG 54 6,0.00018399999999998417
167,FA 20 0,0.00018199999999999328
168,PC_O 38 5,0.00017999999999998017
169,SM d40 1,0.00017399999999998528
170,HexCer t41 2,0.00017399999999998528
171,Cer m38 1,0.00016999999999998128
172,PC 40 8,0.00016599999999997728
173,Cer m44 2,0.00015799999999996928
