,feature name,importance
0,LPE 22 4,0.07945513341230062
1,LPE 18 1,0.05359077383392709
2,LPE 20 2,0.039456116795446104
3,LPE 20 4,0.025774159684918276
4,DG 38 1,0.01636991946002326
5,LPE 20 1,0.01632940088744769
6,PC_P 38 6,0.01578639795769628
7,TG 50 3,0.01570150641972966
8,PC_P 38 2,0.01528235817889451
9,PC 34 0,0.014010975918957058
10,TG 54 5,0.012897394666776864
11,TG 52 2,0.01280109056260351
12,PE 42 5,0.011715806149060448
13,PC 46 5,0.01161940782324546
14,PC_O 34 0,0.010900513290948167
15,PC 44 2,0.00913405354961544
16,LPC 20 1,0.008870547608064664
17,LPE 22 3,0.00879904630391319
18,TG 56 5,0.008392258650188424
19,LPE 24 4,0.008299120947609944
20,TG 52 3,0.007281998235921776
21,PC 31 1,0.006832243599416688
22,FA 22 0,0.006620252015602224
23,SM d37 2,0.006555366391926181
24,PC 32 0,0.006546274857891879
25,Cer d40 1,0.006461876085896614
26,PE 42 10,0.006240800388979637
27,LPC 16 1,0.006196358680472326
28,TG 56 7,0.006153243290849435
29,TG 60 12,0.00604914062800786
30,PC 44 1,0.005990509934198921
31,TG 52 4,0.0059424929481770505
32,HexCer t36 2,0.005741234786123777
33,SM d38 0,0.005354266438073924
34,LPC 22 4,0.005108882233015266
35,LPC 18 1,0.0050704751789070746
36,HexCer t40 2,0.005022311309730334
37,DG 40 2,0.004945737172024529
38,LPE 22 6,0.00474358970085704
39,PE 38 7,0.004648772534404258
40,CAR 18 0,0.004583627064110676
41,PC 29 0,0.004416068386458578
42,FA 22 7,0.004407560782486605
43,PC 30 1,0.0042922959166008905
44,TG 56 4,0.004285893646277171
45,SM d32 0,0.00428253097958356
46,PG 40 8,0.004269237466955103
47,PC 45 2,0.004230718779193708
48,Cer m36 0,0.004176714586301451
49,LPC 22 5,0.004127228042815615
50,TG 60 10,0.004086987951386513
51,PE 36 5,0.004034011758253889
52,Cer d41 2,0.0039383575783466535
53,PC_O 32 0,0.0035746846734089543
54,HexCer t43 2,0.003564170624555118
55,PE_P 41 7,0.003523536959623748
56,CE 20 3,0.00350098789848117
57,PC_P 38 4,0.003462859787731244
58,TG 54 4,0.003452333264535312
59,TG 58 8,0.0034498237376409837
60,FA 21 3,0.0034389613029805824
61,PE 34 3,0.00330655664732676
62,FA 20 0,0.00326666545260464
63,Cer m36 1,0.0031596799645785987
64,CE 22 6,0.003152295166747701
65,Cer d43 2,0.0031360212007364324
66,TG 60 11,0.0030026115916947102
67,Cer m38 1,0.002998166475738357
68,PE_O 40 4,0.0029922742117279785
69,HexCer d38 1,0.0029901779257593074
70,TG 58 6,0.002976036959574041
71,PC 33 1,0.0028976891599388228
72,PE 40 8,0.00288237953719727
73,PC 46 3,0.002868131061295053
74,Cer m39 1,0.002855924463622502
75,Cholesterol,0.0028483914863891963
76,PE_P 36 5,0.0027819212861036574
77,PE 36 6,0.002721401145654182
78,SM d42 1,0.002703822767893389
79,DG 35 1,0.0026892818095810814
80,Cer d42 2,0.0026223557498072417
