,polarity_peak,Lipid.class,Lipid.species,fragmentation,adduct,other.mode,MZ.target,RT.data,init_peak,polarity,schiz_peak,healthy_predicted,rt_error,ppm_error,schiz_peak_WO_,corr_all,corr_HC,polarity_schiz_peak
0,posFT21454,DG,DG 34:1,DG(16:0_18:1). DG(16:1_18:0),M+NH4,negFT09400,612.5578486,9.833337402,FT21454,pos,FT24227,FT21454,0.0102228206941408,0.330945822508577,FT24227,0.5340973939725769,0.977170027901443,posFT24227
1,posFT22500,DG,DG 35:1,DG(17:1_18:0),M+NH4,negFT09832,626.5737607,10.59275818,FT22500,pos,FT25123,FT22500,0.0142860567389053,0.299755411381664,FT25123,0.6898567042008306,0.8751098558667837,posFT25123
2,posFT23044,DG,DG 36:4,DG(16:0_20:4),M+NH4,negFT10106,634.5423469,8.601460775,FT23044,pos,FT25655,FT23044,0.0145466963596998,-0.4459683899408145,FT25655,0.5884683747405809,0.9737250798699694,posFT25655
3,posFT23164,DG,DG 36:3,DG(16:0_20:3). DG(18:1_18:2),M+NH4,negFT10169,636.5575853,9.128818766,FT23164,pos,FT25793,FT23164,0.0132584424821953,-0.1569608416568846,FT25793,0.4323435958016167,0.979049412904328,posFT25793
4,posFT23296,DG,DG 36:2,DG(18:0_18:2). DG(18:1_18:1),M+NH4,negFT10242,638.5739392,10.12287547,FT23296,pos,FT25962,FT23296,0.0046836125041593,0.1195837997921775,FT25962,0.511568207315459,0.9768469093440848,posFT25962
5,posFT23406,DG,DG 36:1,DG(18:0_18:1),M+NH4,negFT10321,640.5898167,11.40074361,FT23406,pos,FT26104,FT23406,0.0180974614500879,0.2741754623752373,FT26104,0.5937878687033137,0.9442920114067452,posFT26104
6,posFT24809,DG,DG 38:4,DG(18:0_20:4),M+NH4,negFT11106,662.5737666,9.974319458,FT24809,pos,FT27598,FT24809,0.0113144428461193,-0.3533334234609758,FT27598,0.6454373643679405,0.960613934850169,posFT27598
7,posFT25059,DG,DG 38:2,DG(18:1_20:1),M+NH4,negFT11264,666.605811,11.58090312,FT25059,pos,FT27854,FT25059,0.0114544552825659,-0.0019026956823298,FT27854,0.6649499812205417,0.8875204820936837,posFT27854
8,posFT26655,DG,DG 40:4,DG(18:0_22:4),M+NH4,negFT12160,690.6062064,11.05812683,FT26655,pos,FT29461,FT26655,0.014909383598411,-0.1849891995260941,FT29461,0.6505931093795371,0.9749130693055428,posFT29461
9,posFT26925,DG,DG 40:2,DG(18:1_22:1),M+NH4,negFT12327,694.6373094,13.17234497,FT26925,pos,FT29773,FT26925,0.0072228980792612,-0.3075667421854169,FT29773,0.7773171955119702,0.9104828086929478,posFT29773
10,posFT27375,SM,SM d34:2,SM(d34:2),M+H,negFT13338,701.5629147,5.596826681,FT27375,pos,FT30191,FT27375,0.0055337405081559,0.439228388342665,FT30191,0.427529145833015,0.8470457918625444,posFT30191
11,posFT28338,SM,SM d35:1,SM(d35:1),M+H,negFT13932,717.5923092,6.548968506,FT28338,pos,FT31217,FT28338,0.0029392434833086,0.2010695127037991,FT31217,0.3180407460627559,0.909431784525434,posFT31217
12,posFT29055,SM,SM d36:2,SM(d36:2),M+H,negFT14367,729.5936425,6.307177734,FT29055,pos,FT31997,FT29055,0.0016748485258046,0.1935193881442575,FT31997,0.5837085599545642,0.8236326626933638,posFT31997
13,posFT29177,SM,SM d36:1,SM(d36:1),M+H,negFT14476,731.6083335,6.976206462,FT29177,pos,FT32121,FT29177,-0.0054297900533075,-1.0722496449255403,FT32121,0.4769593205615099,0.9659282642775272,posFT32121
14,posFT24819,Cer,Cer m44:1,Cer(m20:0/24:1),M+H,negFT11759,662.6830326,14.14666951,FT24819,pos,FT27610,FT24819,5.6102826263781935e-05,-0.8017108222995287,FT27610,0.6635424725155674,0.9005647406961532,posFT27610
15,posFT23865,Cer,Cer d42:2,Cer(d18:1/24:1) ,M+H,negFT11219,648.6313842,11.47877502,FT23865,pos,FT26687,FT23865,0.0066748784872388,0.2864190998112207,FT26687,0.823232552884713,0.990748927337312,posFT26687
16,posFT24815,Cer,Cer d43:2,Cer(d18:1/25:1),M+H,negFT11757,662.6475423,12.34425456,FT24815,pos,FT27606,FT24815,0.0074407854798259,1.2784656352348065,FT27606,0.794882002928871,0.9632836413644682,posFT27606
17,posFT33758,HexCer,HexCer d41:2,HexCer(d18:1/23:1). HexCer(d17:1/24:1),M+H,negFT17164,796.6708349,9.253625488,FT33758,pos,FT36719,FT33758,-0.0025207626602554,0.1782197013538002,FT36719,0.5567513036823555,0.7743214770867146,posFT36719
18,posFT33759,HexCer,HexCer d41:2,HexCer(d18:2/23:0),M+H,negFT17165,796.6709822,9.537587484,FT33759,pos,FT36720,FT33759,-0.0169467735434452,-0.5232599669283873,FT36720,0.4644992156025049,0.8508322000905979,posFT36720
19,posFT34814,HexCer,HexCer d42:2,HexCer(d18:1/24:1),M+H,negFT17686,810.6866281,9.931539917,FT34814,pos,FT37747,FT34814,-0.0044869483069138,-0.5125085398089195,FT37747,0.647191458455916,0.7954105652878307,posFT37747
20,posFT28397,DG,DG 42:4,DG(24:4_18:0),M+NH4,negFT13347,718.6386332,12.41089427,FT28397,pos,FT31277,FT28397,0.0207620419222536,0.5670173579301995,FT31277,0.6332199346143651,0.907791104204156,posFT31277
21,posFT25685,SM,SM d32:1,SM(d32:1),M+H,negFT12231,675.5426505,5.480130005,FT25685,pos,FT28434,FT25685,0.0077338262786437,0.5330804112817723,FT28434,0.5406676409600152,0.8607402967004248,posFT28434
22,posFT26590,SM,SM d33:1,SM(d33:1),M+H,negFT12802,689.5625144,5.795720418,FT26590,pos,FT29382,FT26590,0.0025070753977693,0.9966495924211424,FT29382,0.0630827419018135,0.7444641975300006,posFT29382
23,posFT27481,SM,SM d34:1,SM(d34:1),M+H,negFT13418,703.5784274,6.145274353,FT27481,pos,FT30343,FT27481,0.0101868866373004,0.2319527752511056,FT30343,0.3384262376737728,0.9452000683180228,posFT30343
24,posFT27602,SM,SM d34:0,SM(d34:0),M+H,negFT13514,705.5932855,6.381964111,FT27602,pos,FT30467,FT27602,0.0003348222184955,0.1398033482288251,FT30467,0.4062752052217289,0.9689665049124075,posFT30467
